X,Displacement,Force
0.0,0.0,3.12565
0.000100007,0.0300013,1077.72
0.000200006,0.0600055,2172.17
0.000300006,0.0899964,3319.13
0.000400012,0.120005,4258.07
0.00050001,0.150013,5453.08
0.000600011,0.179965,6453.77
0.000700012,0.209917,7612.03
0.000800012,0.23987,8618.26
0.000900013,0.269785,9110.9
0.00100001,0.299686,9616.67
0.0011,0.329583,10074.9
0.0012,0.359484,10492.2
0.0013,0.389385,10876.6
0.0014,0.419286,11224.4
0.0015,0.449187,11552.1
0.0016,0.479088,11876.1
0.0017,0.508989,12217.6
0.00180001,0.53889,12519.6
0.00190001,0.568791,12812.8
0.00200001,0.598805,13120.0
0.0021,0.628945,13409.4
0.00220001,0.65909,13663.1
0.00230001,0.68923,13901.4
0.0024,0.719371,14127.6
0.00250001,0.749515,14345.0
0.0026,0.779656,14547.8
0.00270001,0.8098,14763.5
0.00280001,0.839941,14978.2
0.0029,0.870081,15165.5
0.00300001,0.900226,15363.3
0.00310001,0.930366,15554.1
0.0032,0.960506,15736.8
0.00330001,0.990651,15908.8
0.00340001,1.02079,16082.1
0.0035,1.05093,16229.4
0.00360001,1.08108,16377.1
0.0037,1.11122,16528.0
0.00380001,1.14136,16667.8
0.00390001,1.1715,16802.1
0.004,1.20164,16937.8
0.00410001,1.23179,17075.4
0.00420001,1.26193,17206.3
0.0043,1.29207,17325.7
0.00440001,1.32221,17435.8
0.0045,1.35235,17542.3
0.0046,1.38249,17646.6
0.00470001,1.41264,17747.2
0.0048,1.44278,17843.3
0.00490001,1.47292,17935.9
0.00500001,1.50306,18021.4
0.0051,1.5332,18096.6
0.00520001,1.56335,18166.5
0.00530001,1.59349,18232.6
0.0054,1.62363,18295.4
0.00550001,1.65377,18351.9
0.0056,1.68391,18398.2
0.00570001,1.71406,18437.8
0.00580001,1.7442,18470.9
0.0059,1.77434,18494.3
0.00600001,1.80448,18508.3
0.00610001,1.83462,18509.2
0.0062,1.86476,18494.9
0.00630001,1.89491,18466.3
0.00640001,1.92505,18421.8
0.0065,1.95519,18364.2
0.00660001,1.98533,18294.4
0.0067,2.01515,18213.8
0.00680001,2.04488,18122.1
0.00690001,2.07461,18008.4
0.007,2.10434,17885.5
0.00710001,2.13407,17739.3
0.00720001,2.1638,17587.7
0.0073,2.19352,17415.5
0.00740001,2.22326,17237.9
0.0075,2.25298,17043.4
0.00760001,2.28272,16839.3
0.00770001,2.31244,16623.5
0.0078,2.34217,16392.5
0.00790001,2.37277,16147.0
0.00800001,2.40296,15884.4
0.0081,2.43283,15621.2
0.0082,2.46245,15341.8
0.00830001,2.49252,15054.9
0.0084,2.52294,14745.7
0.00850001,2.55284,14440.3
0.00860001,2.58235,14126.9
0.00870001,2.61291,13794.2
0.0088,2.64278,13463.5
0.00890001,2.67218,13136.7
0.009,2.70246,12803.0
0.0091,2.73255,12470.7
0.00920001,2.7622,12156.2
0.00930001,2.7914,11845.2
0.00940001,2.82232,11532.0
0.0095,2.85257,11228.4
0.0096,2.88225,10947.5
0.00970001,2.91134,10675.8
0.00980001,2.94219,10403.6
0.0099,2.97291,10141.2
0.01,3.00277,9901.95
